"target","value_1","value_2"
107.465642591152,"1",101
104.132812128387,"1",101
101.172141202136,"1",101
83.1060489612825,"1",101
116.112981779583,"1",101
103.913563458574,"1",101
120.09796871971,"1",101
89.8616289861608,"1",101
99.3444714603541,"1",101
107.942287059637,"1",101
105.128013634851,"1",101
355.781972132498,"1",101
103.385481834329,"1",101
98.6818875105522,"1",101
76.3184291739866,"1",101
83.2933113977471,"1",101
98.4833801542432,"1",101
99.219369270949,"1",101
101.250614237763,"1",101
99.2024069856858,"1",101
99.9075336345308,"1",101
98.932257713268,"1",101
99.7072319230768,"1",101
100.556684494549,"1",101
102.023664761306,"1",101
94.0726433490738,"1",101
104.351765887637,"1",101
95.7965907057982,"1",101
99.5119341836651,"1",101
99.614150271339,"1",101
101.403922257751,"1",101
103.972030651646,"1",101
115.507289531975,"1",101
108.04827230226,"1",101
102.090746342366,"1",101
98.7899512122509,"1",101
102.001415392091,"1",101
104.686010268972,"1",101
101.405577524168,"1",101
102.777538120704,"1",101
104.743752840137,"1",101
96.018453764912,"1",101
113.356967891105,"1",101
100.491671635876,"1",101
95.2227092570852,"1",101
93.4201757943813,"1",101
104.247775314365,"1",101
102.169310661859,"1",101
111.851577659427,"1",101
107.430607702335,"1",101
101.229259922854,"1",101
97.7355921954886,"1",101
102.950620086201,"1",101
106.143649050434,"1",101
112.237422760934,"1",101
106.507844700869,"1",101
100.237873983544,"1",101
100.780223707483,"1",101
98.589278663356,"1",101
100.594489776967,"1",101
97.6189918277881,"1",101
102.831347907503,"1",101
98.1260665199759,"1",101
104.243095948363,"1",101
76.1255407609591,"1",101
103.562816072707,"1",101
103.398236530796,"1",101
107.153474780813,"1",101
96.5392629237751,"1",101
101.598655724992,"1",101
101.078727766558,"1",101
98.9526884106496,"1",101
104.905010456103,"1",101
105.367745984247,"1",101
118.752577437314,"1",101
100.171513672747,"1",101
91.6536048549917,"1",101
76.4071612860163,"1",101
104.118977396872,"1",101
108.720682762767,"1",101
112.638786792029,"1",101
107.516031439569,"1",101
103.543366021833,"1",101
44.4068733322794,"1",101
103.436220528679,"1",101
110.730247955486,"1",101
103.129892837011,"1",101
90.8772615037511,"1",101
106.228871883916,"1",101
104.948514760695,"1",101
87.2241109047807,"1",101
103.344312674988,"1",101
106.458734894145,"1",101
119.499331686657,"1",101
108.839806934019,"1",101
104.694073131253,"1",101
112.29277839433,"1",101
91.541794981301,"1",101
100.195612442919,"1",101
107.642742496084,"1",101
130.069032031062,"1",101
109.284331344871,"1",101
109.614758396916,"1",101
95.9182489645515,"1",101
92.7803753678179,"1",101
83.6415776895984,"1",101
106.510733839329,"1",101
100.085478935905,"1",101
103.710786204227,"1",101
103.521366800262,"1",101
103.440950506199,"1",101
100.117470948014,"1",101
100.784097574857,"1",101
19.8304335914673,"1",101
101.403492906504,"1",101
105.590356091099,"1",101
135.841000107114,"1",101
106.076422262446,"1",101
101.622278443797,"1",101
100.345980088234,"1",101
98.5023827984444,"1",101
102.828498909425,"1",101
101.741560557519,"1",101
97.0465952733148,"1",101
105.83855275345,"1",101
103.510074076968,"1",101
101.091869768464,"1",101
102.351175126063,"1",101
103.281843447759,"1",101
101.057158639893,"1",101
104.546757606795,"1",101
114.64393308644,"1",101
100.556781205232,"1",101
83.0974106611747,"1",101
66.783271626804,"1",101
101.675303115196,"1",101
64.5317162786328,"1",101
99.7869956265754,"1",101
102.12145376151,"1",101
100.864318199524,"1",101
115.12132966297,"1",101
89.6859887933047,"1",101
76.1985423682077,"1",101
103.63525181059,"1",101
111.991305840434,"1",101
106.285335412825,"1",101
-149.668056647358,"1",101
96.5723723940691,"1",101
115.918316062567,"1",101
102.531582841439,"1",101
102.463606501491,"1",101
107.856716951888,"1",101
97.9443432103027,"1",101
100.163585033558,"1",101
103.582609045932,"1",101
112.404382206911,"1",101
100.409407596845,"1",101
118.380528062305,"1",101
40.9608449559417,"1",101
87.3912135400528,"1",101
107.646627522273,"1",101
101.635236357417,"1",101
103.707677571952,"1",101
114.43387412817,"1",101
100.664042016762,"1",101
106.454806512801,"1",101
101.659831991595,"1",101
101.62794983482,"1",101
109.748315003333,"1",101
105.91562240236,"1",101
104.499913641641,"1",101
104.924611398153,"1",101
106.280804476322,"1",101
102.048837185639,"1",101
104.530820535503,"1",101
96.0709694765214,"1",101
117.079318936393,"1",101
55.0743348192353,"1",101
104.899320919954,"1",101
83.353002320575,"1",101
107.306627336509,"1",101
106.067498625999,"1",101
103.156528921742,"1",101
104.742343027847,"1",101
92.4971880241461,"1",101
100.071998536993,"1",101
100.074265619226,"1",101
112.684326599655,"1",101
92.7787344569694,"1",101
111.736910479609,"1",101
101.413599109209,"1",101
101.129386719272,"1",101
99.871435283198,"1",101
95.7853456779239,"1",101
105.527708385364,"1",101
98.8212552780727,"1",101
108.916507994264,"1",101
94.0226811151024,"1",101
75.3279943349257,"1",101
99.7261673506806,"1",101
105.367494489295,"1",101
89.411904028865,"1",101
103.284002850671,"1",101
100.862451557447,"1",101
100.195714308915,"1",101
106.994493127848,"1",101
100.774933247873,"1",101
96.361845218701,"1",101
98.9403757039281,"1",101
102.91304323841,"1",101
95.1508743395166,"1",101
274.11467158603,"1",101
102.672839827887,"1",101
101.499255300399,"1",101
101.93264727809,"1",101
99.1706291719142,"1",101
102.366717028157,"1",101
102.630226405391,"1",101
99.5155588442672,"1",101
87.5313441353752,"1",101
90.5082385379222,"1",101
97.7139012624546,"1",101
135.299207543461,"1",101
107.035079748619,"1",101
100.441401423018,"1",101
97.2066584982638,"1",101
158.324254453348,"1",101
99.3453437290026,"1",101
100.67130028986,"1",101
84.833996418199,"1",101
98.4294610822166,"1",101
100.469468213224,"1",101
94.70217557134,"1",101
100.523549698654,"1",101
101.16634552123,"1",101
119.620520907781,"1",101
97.9449594813065,"1",101
83.2160358136989,"1",101
94.1210170731426,"1",101
102.855506985493,"1",101
84.9893002620965,"1",101
96.9804543301216,"1",101
115.935432236253,"1",101
106.823922279749,"1",101
138.645034553083,"1",101
105.075546750761,"1",101
105.950495711303,"1",101
101.025058040979,"1",101
389.432418311256,"1",101
82.4192103634744,"1",101
35.6327976361302,"1",101
103.374031433787,"1",101
49.8152727317776,"1",101
109.467487265313,"1",101
101.067346228203,"1",101
98.8798207038777,"1",101
102.014660196156,"1",101
86.6118376051198,"1",101
118.572489252759,"1",101
96.2995607419435,"1",101
111.21492788773,"1",101
103.610836940518,"1",101
91.8375135158325,"1",101
103.320536654636,"1",101
54.934505428514,"1",101
107.374560050351,"1",101
103.390390522267,"1",101
103.787191308621,"1",101
96.1175529883777,"1",101
102.452828896333,"1",101
93.5253595830254,"1",101
99.7297461840891,"1",101
101.204793504183,"1",101
96.528039524188,"1",101
103.407688359027,"1",101
103.211872639804,"1",101
101.79442334303,"1",101
105.687413566643,"1",101
126.399441436683,"1",101
98.9544239891207,"1",101
99.8446251131962,"1",101
128.530122005835,"1",101
104.230215998103,"1",101
107.645153909696,"1",101
99.0242353540305,"1",101
107.898919414752,"1",101
100.599916755582,"1",101
86.6800159803176,"1",101
59.0710271103672,"1",101
110.144948043823,"1",101
123.771864560611,"1",101
102.864449580091,"1",101
97.1134866748742,"1",101
82.2267219303676,"1",101
-75.0920618061331,"1",101
100.059915183698,"1",101
1.09951736663542,"1",101
100.911952026637,"1",101
103.573778453732,"1",101
108.723995494276,"1",101
85.6702409415874,"1",101
130.722312937481,"1",101
94.2278979852806,"1",101
103.230535279118,"1",101
107.188920798863,"1",101
100.464791300627,"1",101
92.3639396872876,"1",101
102.378383751299,"1",101
109.307279979179,"1",101
113.971511196683,"1",101
103.943055194265,"1",101
96.6884048181776,"1",101
100.428452998128,"1",101
139.443063932329,"1",101
108.529283531598,"1",101
103.803018943291,"1",101
98.6705483642522,"1",101
-162.047899545035,"1",101
122.023862027521,"1",101
102.528300809472,"1",101
94.4243842574533,"1",101
109.361686849483,"1",101
96.6414216447968,"1",101
105.345670610426,"1",101
98.3562482926721,"1",101
114.656832510095,"1",101
105.056604776102,"1",101
102.659306156719,"1",101
96.6050666354691,"1",101
103.71441912022,"1",101
90.780743294786,"1",101
102.721426471901,"1",101
102.506476364024,"1",101
122.005319881369,"1",101
105.333757448373,"1",101
98.5713957473859,"1",101
95.760160478496,"1",101
105.165100488861,"1",101
155.342508664161,"1",101
103.988249491492,"1",101
110.30710379258,"1",101
78.5457934236889,"1",101
109.359319360787,"1",101
82.0012430432816,"1",101
73.8092280442788,"1",101
115.813283674408,"1",101
97.0293603687934,"1",101
107.876714503816,"1",101
99.6375227781156,"1",101
94.0411611808495,"1",101
82.8768919369044,"1",101
104.744487676044,"1",101
101.936869349342,"1",101
99.6270207738243,"1",101
105.055985007761,"1",101
96.9369998076348,"1",101
101.467468599617,"1",101
106.755699707729,"1",101
104.393896136101,"1",101
102.794335808057,"1",101
99.5087056494825,"1",101
94.699721758205,"1",101
97.3525375927304,"1",101
113.152121689569,"1",101
104.207445484725,"1",101
105.447352571319,"1",101
25.1924537815633,"1",101
104.096019724616,"1",101
102.913686870171,"1",101
100.099446645708,"1",101
102.411115436271,"1",101
101.075980972124,"1",101
101.476224719351,"1",101
98.8308557080318,"1",101
98.7232005420131,"1",101
100.379206059889,"1",101
101.966501582859,"1",101
99.7501932935084,"1",101
99.6912797781368,"1",101
105.140789829009,"1",101
96.5578607674154,"1",101
102.203873514017,"1",101
99.3583287362472,"1",101
88.789532770916,"1",101
102.655731209871,"1",101
105.946547788767,"1",101
127.1534477186,"1",101
108.68148449956,"1",101
105.141081222452,"1",101
99.6305279415996,"1",101
107.545695137607,"1",101
101.767144303186,"1",101
101.21197485621,"1",101
106.098454972681,"1",101
191.558484648267,"1",101
100.927220533037,"1",101
101.800817696049,"1",101
103.394526653992,"1",101
104.42882558375,"1",101
107.828176498781,"1",101
98.4166322605144,"1",101
105.803500180061,"1",101
98.3346365009767,"1",101
2922.99654298051,"1",101
103.828989651434,"1",101
100.335244989188,"1",101
96.3199327878113,"1",101
228.222671488057,"1",101
142.833114873236,"1",101
99.9384748426607,"1",101
101.400259264381,"1",101
99.5564529131319,"1",101
100.466816549778,"1",101
102.556422684991,"1",101
94.1341147841162,"1",101
104.321417041479,"1",101
122.248876589408,"1",101
92.1961951968511,"1",101
100.365760146209,"1",101
105.24106206922,"1",101
101.550012841997,"1",101
94.1650413405661,"1",101
96.7571127875701,"1",101
101.871109437213,"1",101
95.4108595350113,"1",101
104.812865102153,"1",101
215.499934059421,"1",101
102.014816542905,"1",101
128.334744158256,"1",101
97.6629894678042,"1",101
109.717821943622,"1",101
102.804196130074,"1",101
105.166357974891,"1",101
89.6248215465002,"1",101
99.2059254402969,"1",101
111.497558328671,"1",101
100.389740461927,"1",101
346.103645769552,"1",101
102.511888857998,"1",101
100.230490922094,"1",101
103.483264657773,"1",101
108.099071195782,"1",101
109.974429799344,"1",101
101.494042455383,"1",101
60.3762827808246,"1",101
102.910049498537,"1",101
95.0696470628734,"1",101
89.5576529730147,"1",101
105.676903279829,"1",101
-249.293512064282,"1",101
102.194050406519,"1",101
101.673644785637,"1",101
118.887922848267,"1",101
103.950608291138,"1",101
114.449643486031,"1",101
101.665968220949,"1",101
101.967695434804,"1",101
101.725020440012,"1",101
110.037642495697,"1",101
105.099342456147,"1",101
106.451375048389,"1",101
107.197754201505,"1",101
101.143801274636,"1",101
103.320310241262,"1",101
101.613194532221,"1",101
101.32829358889,"1",101
100.620310349632,"1",101
99.2782958607193,"1",101
100.08821048299,"1",101
101.069672671904,"1",101
101.383752201551,"1",101
109.035467777836,"1",101
100.845806071203,"1",101
101.132948292356,"1",101
105.608849615996,"1",101
109.164726974122,"1",101
108.871021448529,"1",101
96.2461272082625,"1",101
100.598081383315,"1",101
105.047955546098,"1",101
105.510607568847,"1",101
100.341110051392,"1",101
95.6701747393989,"1",101
93.5190283043462,"1",101
103.230013793352,"1",101
108.481598766679,"1",101
92.8752301889125,"1",101
99.8348049628957,"1",101
115.973607495311,"1",101
101.678136072633,"1",101
101.500889960843,"1",101
102.638462790372,"1",101
111.79463686245,"1",101
102.296960216924,"1",101
107.237370800134,"1",101
103.783025537793,"1",101
110.389099640226,"1",101
106.818235086088,"1",101
111.263799702327,"1",101
107.941570243702,"1",101
100.24055887061,"1",101
105.224924654503,"1",101
102.254176365356,"1",101
104.088628628217,"1",101
102.707902430713,"1",101
86.5112960532228,"1",101
99.6671952155911,"1",101
103.903317464535,"1",101
106.180283758403,"1",101
111.457512608365,"1",101
75.1562112967096,"1",101
102.540643130772,"1",101
101.351732145325,"1",101
102.351332086899,"1",101
98.1612590437968,"1",101
103.249753911327,"1",101
105.032887118447,"1",101
105.040413292417,"1",101
